id,path,title,action,reason,destination
home,/,영통탑내과,유지·본문 정리,병원의 진료 분야와 위치를 파악하고 필요한 안내로 이동한다.,/
not-found,/404.html,페이지를 찾을 수 없습니다,유지·공통 UI 정리,없는 주소에서 홈페이지나 검색으로 돌아가 필요한 안내를 찾는다.,/404.html
about,/about/,병원 소개,유지·본문 정리,병원 소개의 내용을 이해하고 진료 상담 또는 병원 방문에 필요한 정보를 확인한다.,/about/
cases,/cases/,진단 사례,유지·본문 정리,병원이 게시한 실제 진단 사례를 주제별로 찾아 원문으로 이동한다.,/cases/
case-164673116,/cases/case-164673116/,복수·단백뇨와 대장암 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673116&t=board
case-164673131,/cases/case-164673131/,속쓰림으로 내원한 위암 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673131&t=board
case-164673206,/cases/case-164673206/,갑상선암 증례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673206&t=board
case-164673218,/cases/case-164673218/,수신증 사례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673218&t=board
case-164673233,/cases/case-164673233/,하복부 통증으로 내원하여 시행한 초음파 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673233&t=board
case-164673242,/cases/case-164673242/,발열 복통으로 내원한 복막염 환자. — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=164673242&t=board
case-165150420,/cases/case-165150420/,복강내 종괴 증례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165150420&t=board
case-165150549,/cases/case-165150549/,대장 베체트 증례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165150549&t=board
case-165150795,/cases/case-165150795/,폐렴 증례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165150795&t=board
case-165151140,/cases/case-165151140/,비후성 심근병증 증례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165151140&t=board
case-165203625,/cases/case-165203625/,지속되는 두근거림으로 내원하여 진단된 심실빈맥 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165203625&t=board
case-165203941,/cases/case-165203941/,두근거림 호흡곤란으로 내원하여 진단된 심방세동 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165203941&t=board
case-165204038,/cases/case-165204038/,혈변과 대장내시경을 통한 대장암 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165204038&t=board
case-165259713,/cases/case-165259713/,생리통으로 오인된 난소종양 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165259713&t=board
case-165259783,/cases/case-165259783/,식도 점막하 종양 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165259783&t=board
case-165259921,/cases/case-165259921/,대동맥 판막협착 및 대동맥판막 역류. — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165259921&t=board
case-165338662,/cases/case-165338662/,"상,하복부 통증으로 내원한 맹장염 — 진단 사례",목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165338662&t=board
case-165338735,/cases/case-165338735/,목에 혹이 만져져요. 림프종 진단사례. — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165338735&t=board
case-165396187,/cases/case-165396187/,재발하는 뇌경색으로 내원하여 진단된 심방세동. — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165396187&t=board
case-165396249,/cases/case-165396249/,식도궤양 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165396249&t=board
case-165396339,/cases/case-165396339/,대동맥판막협착 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165396339&t=board
case-165407798,/cases/case-165407798/,대동맥류를 동반한 이엽성 판막증 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165407798&t=board
case-165407885,/cases/case-165407885/,궤양성대장염 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165407885&t=board
case-165407958,/cases/case-165407958/,대장용종 절제 사례 — 진단 사례,목록으로 통합,한두 문장과 반복 제작 설명으로 구성된 상세 페이지를 병원 원문 링크로 통합,/cases/ → https://yttop.co.kr/21/?bmode=view&idx=165407958&t=board
