id,path,title,implementation,static_audit,browser_no_js,medical_or_operations_review,current_indexing
home,/,영통탑내과,complete,passed,passed,pending,noindex
not-found,/404.html,페이지를 찾을 수 없습니다,complete,passed,passed,pending,noindex
about,/about/,병원 소개,complete,passed,passed,pending,noindex
cases,/cases/,진단 사례,complete,passed,passed,pending,noindex
case-164673116,/cases/case-164673116/,복수·단백뇨와 대장암 진단 사례,complete,passed,passed,pending,noindex
case-164673131,/cases/case-164673131/,속쓰림으로 내원한 위암 진단 사례,complete,passed,passed,pending,noindex
case-164673206,/cases/case-164673206/,갑상선암 증례 — 진단 사례,complete,passed,passed,pending,noindex
case-164673218,/cases/case-164673218/,수신증 사례 — 진단 사례,complete,passed,passed,pending,noindex
case-164673233,/cases/case-164673233/,하복부 통증으로 내원하여 시행한 초음파 — 진단 사례,complete,passed,passed,pending,noindex
case-164673242,/cases/case-164673242/,발열 복통으로 내원한 복막염 환자. — 진단 사례,complete,passed,passed,pending,noindex
case-165150420,/cases/case-165150420/,복강내 종괴 증례 — 진단 사례,complete,passed,passed,pending,noindex
case-165150549,/cases/case-165150549/,대장 베체트 증례 — 진단 사례,complete,passed,passed,pending,noindex
case-165150795,/cases/case-165150795/,폐렴 증례 — 진단 사례,complete,passed,passed,pending,noindex
case-165151140,/cases/case-165151140/,비후성 심근병증 증례 — 진단 사례,complete,passed,passed,pending,noindex
case-165203625,/cases/case-165203625/,지속되는 두근거림으로 내원하여 진단된 심실빈맥 — 진단 사례,complete,passed,passed,pending,noindex
case-165203941,/cases/case-165203941/,두근거림 호흡곤란으로 내원하여 진단된 심방세동 — 진단 사례,complete,passed,passed,pending,noindex
case-165204038,/cases/case-165204038/,혈변과 대장내시경을 통한 대장암 진단 사례,complete,passed,passed,pending,noindex
case-165259713,/cases/case-165259713/,생리통으로 오인된 난소종양 — 진단 사례,complete,passed,passed,pending,noindex
case-165259783,/cases/case-165259783/,식도 점막하 종양 — 진단 사례,complete,passed,passed,pending,noindex
case-165259921,/cases/case-165259921/,대동맥 판막협착 및 대동맥판막 역류. — 진단 사례,complete,passed,passed,pending,noindex
case-165338662,/cases/case-165338662/,"상,하복부 통증으로 내원한 맹장염 — 진단 사례",complete,passed,passed,pending,noindex
