"id","path","template","h1Count","htmlBytes","authoredIntroAndBlocksChars","questionCount","answersRepeatingBody","externalSourceCount","hasSchemaAuthor","hasSchemaReviewer","hasOpeningHours","hasGeo","bodyDoctorLinks","incomingPages"
"home","/","home","1","79263","108","0","0","0","false","false","true","false","2","44"
"not-found","/404.html","not-found","1","18102","51","0","0","0","false","false","false","false","0","0"
"about","/about/","about","1","41641","231","0","0","0","false","false","true","false","0","44"
"cases","/cases/","case-index","1","65187","190","0","0","0","false","false","true","false","0","2"
"checkups","/checkups/","checkup-index","1","60888","185","0","0","0","false","false","true","false","0","44"
"cancer-screening","/checkups/cancer-screening/","checkup-detail","1","55750","472","3","0","2","false","false","true","false","0","7"
"drug-screening","/checkups/drug-screening/","checkup-detail","1","57055","584","3","0","0","false","false","true","false","0","7"
"employment-checkup","/checkups/employment/","checkup-detail","1","56856","543","3","0","1","false","false","true","false","0","7"
"national-checkup","/checkups/national/","checkup-detail","1","60441","600","3","0","1","false","false","true","false","0","5"
"tuberculosis-screening","/checkups/tuberculosis/","checkup-detail","1","53236","540","3","0","1","false","false","true","false","0","4"
"visa-checkup","/checkups/visa/","checkup-detail","1","53369","537","3","0","1","false","false","true","false","0","4"
"conditions","/conditions/","condition-index","1","53520","245","0","0","0","false","false","true","false","0","9"
"acute-care","/conditions/acute-care/","condition-detail","1","50902","427","3","0","1","false","false","true","false","0","6"
"chronic-cough","/conditions/chronic-cough/","condition-detail","1","55610","562","3","0","1","false","false","true","false","0","3"
"heart-disease","/conditions/heart-disease/","condition-detail","1","64597","540","3","0","3","false","false","true","false","1","7"
"doctors","/doctors/","physician-index","1","37990","58","0","0","0","false","false","true","false","4","44"
"doctor-park-jongseol","/doctors/park-jongseol/","physician-detail","1","42612","40","0","0","0","false","false","true","false","0","6"
"doctor-park-rayoung","/doctors/park-rayoung/","physician-detail","1","39956","41","0","0","0","false","false","true","false","0","4"
"fees","/fees/","fees","1","46349","281","2","0","0","false","false","true","false","0","44"
"health","/health/","article-index","1","51759","211","0","0","0","false","false","true","false","0","44"
"checkup-preparation","/health/checkup-preparation-checklist/","article-detail","1","72794","604","3","0","3","false","false","true","false","0","14"
"colonoscopy-preparation","/health/colonoscopy-preparation-questions/","article-detail","1","67300","646","5","0","2","false","false","true","false","0","7"
"heart-test-differences","/health/heart-test-differences/","article-detail","1","70957","620","3","0","3","false","false","true","false","0","7"
"palpitations-followup","/health/palpitations-test-followup/","article-detail","1","60016","614","3","0","3","false","false","true","false","0","5"
"notices","/notices/","notice-index","1","35028","183","0","0","0","false","false","true","false","0","44"
"privacy","/privacy/","policy","1","34011","221","0","0","1","false","false","true","false","0","44"
"search","/search/","search","1","141295","71","0","0","0","false","false","true","false","2","44"
"services","/services/","service-index","1","65370","191","0","0","0","false","false","true","false","0","44"
"cancer-support","/services/cancer-support/","service-detail","1","51847","491","3","0","1","false","false","true","false","0","5"
"endoscopy","/services/endoscopy/","service-hub","1","50638","173","0","0","0","false","false","true","false","0","12"
"colonoscopy","/services/endoscopy/colonoscopy/","service-detail","1","63324","579","3","0","1","false","false","true","false","0","4"
"gastroscopy","/services/endoscopy/gastroscopy/","service-detail","1","64101","586","3","0","1","false","false","true","false","0","3"
"heart-index","/services/heart/","service-hub","1","61337","165","0","0","0","false","false","true","false","0","13"
"abi","/services/heart/arterial-assessment/","service-detail","1","55696","527","3","0","1","false","false","true","false","0","4"
"cardiac-markers","/services/heart/cardiac-markers/","service-detail","1","60286","523","3","0","2","false","false","true","false","0","3"
"carotid","/services/heart/carotid-ultrasound/","service-detail","1","56712","475","3","0","1","false","false","true","false","0","4"
"echocardiography","/services/heart/echocardiography/","service-detail","1","68932","627","3","0","3","false","false","true","false","1","7"
"hrv","/services/heart/heart-rate-variability/","service-detail","1","57088","493","3","0","1","false","false","true","false","0","3"
"holter","/services/heart/holter/","service-detail","1","64116","638","3","0","2","false","false","true","false","0","7"
"ultrasound-index","/services/ultrasound/","service-hub","1","51542","183","0","0","0","false","false","true","false","0","7"
"abdominal-ultrasound","/services/ultrasound/abdomen/","service-detail","1","55988","515","3","0","1","false","false","true","false","0","4"
"bowel-ultrasound","/services/ultrasound/bowel/","service-detail","1","58030","517","3","0","1","false","false","true","false","0","5"
"thyroid-ultrasound","/services/ultrasound/thyroid/","service-detail","1","53576","500","3","0","1","false","false","true","false","0","3"
"sitemap","/sitemap/","sitemap","1","82714","58","0","0","0","false","false","true","false","2","44"
"visit","/visit/","visit","1","55250","129","3","0","0","false","false","true","false","0","44"
