id,scope,observed_issue,implementation_default,required_resolution,blocks
D01,배포,Pages 조회 HTTP 404,기존 설정과 권한 읽기 확인 후 workflow 배포 설정,미설정 여부와 Pages 최초 설정 권한,최초 실제 Pages 배포
D02,도메인,기존 병원 도메인 교체 여부 미확정,codepump-net.github.io/yt-top-webforai 검토 배포 및 noindex,대표 URL 정책과 기존 호스팅 이전 범위,운영 색인 전환과 기존 URL 리디렉션
D03,호스팅,Pages 온라인 비즈니스 용도 제한 존재,동일 정적 out 산출물 유지 및 목적 적합성 확인,운영 홈페이지 용도의 호스팅 정책 적합성,Pages 운영 호스팅 확정
D04,의료진,현행48 박라영과 이전MAIN2 오지웅 공존,현행 두 프로필로 구현하고 이전 인물 자동 포함 안 함,현재 근무와 자격 경력 사실 확인,현재 의료진 공개 확정
D05,운영시간,토요일 점심 안내가 명확하지 않음,시간 예외를 데이터 필드로 분리하고 미확정 상태 유지,요일별 점심과 접수 적용 범위,해당 시간의 확정 표현
D06,검사,마약검사 6종 목록 상충,단일 검사 버전 필드 구현 및 상충 목록 공개 제외,실제 항목과 영문서류 조건,마약검사 항목 표 공개
D07,비용,이벤트 수면비 기간 총액 조건 부족,가격 원장에 조건과 적용 기간 요구,가격 항목 총액 포함 여부와 유효기간,비용 숫자 공개
D08,방문,주차 및 접근 동선 확정 자료 없음,주소와 기존 교통 안내 구현 및 주차 조건 추정 안 함,현장 주차와 이동 지원 조건,주차 무료 지원 등 확정 표현
D09,준비안내,검사별 준비 결과일 정보 미확정,검사 종류별 필드와 문의 동선 구현,검진 내시경 초음파 준비 및 결과 절차,구체적 시간표와 복약 안내
D10,이미지,박라영 이미지가 실루엣,기존 실루엣 또는 텍스트 프로필 사용,실사진이 없는 상태를 정확히 표시,가상 실사진 또는 잘못된 alt 사용
D11,증례,25개 사례 재게시와 검사영상 비식별 미확인,25개 템플릿 원고 후보를 준비하고 개별 공개 상태 관리,사례별 사용 범위 식별정보 제거 의료 검수,해당 사례의 공개
D12,공지,2025년6월24일 휴진과 연도 없는 이미지 공지,과거 공지는 종료 보관 및 현재 시간과 분리,연도 없는 공지의 적용 연도,현재 휴진 배너와 날짜 예외 반영
D13,의료표현,검사성능 치료효과 약물 관련 원문 검수 필요,근거와 한계를 구조화하고 단정 표현 이전 안 함,의료진의 해당 문장 및 근거 검수,해당 의료 주장 공개
D14,공개저장소,PUBLIC 저장소에 연구 자료가 로컬 존재,소스 커밋과 웹 artifact 모두 allowlist로 선택,공개할 원고와 이미지 파생본 목록,원본 HTML OCR 환자 자료 일괄 공개
D15,질문수요,외부 질문 후보13개 고빈도 승인0개,질문 설계 참고로만 사용하고 빈도는 null,고빈도 표현을 쓸 경우 기간 분모 독립 질문 수,고빈도 또는 병원 환자 질문 통계 주장
