id,route,title,template,defaultChecks,stressChecks,defaultDocumentOverflowChecks,defaultClipCandidateChecks,defaultOverlapCandidateChecks,mobileAxeViolations,qaCount,note
"home","/","영통탑내과","home","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"not-found","/404.html","페이지를 찾을 수 없습니다","not-found","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"about","/about/","병원 소개","about","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"cases","/cases/","진단 사례","case-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673116","/cases/case-164673116/","복수·단백뇨와 대장암 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673131","/cases/case-164673131/","속쓰림으로 내원한 위암 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673206","/cases/case-164673206/","갑상선암 증례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673218","/cases/case-164673218/","수신증 사례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673233","/cases/case-164673233/","하복부 통증으로 내원하여 시행한 초음파 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-164673242","/cases/case-164673242/","발열 복통으로 내원한 복막염 환자. — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165150420","/cases/case-165150420/","복강내 종괴 증례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165150549","/cases/case-165150549/","대장 베체트 증례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165150795","/cases/case-165150795/","폐렴 증례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165151140","/cases/case-165151140/","비후성 심근병증 증례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165203625","/cases/case-165203625/","지속되는 두근거림으로 내원하여 진단된 심실빈맥 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165203941","/cases/case-165203941/","두근거림 호흡곤란으로 내원하여 진단된 심방세동 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165204038","/cases/case-165204038/","혈변과 대장내시경을 통한 대장암 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165259713","/cases/case-165259713/","생리통으로 오인된 난소종양 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165259783","/cases/case-165259783/","식도 점막하 종양 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165259921","/cases/case-165259921/","대동맥 판막협착 및 대동맥판막 역류. — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165338662","/cases/case-165338662/","상,하복부 통증으로 내원한 맹장염 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165338735","/cases/case-165338735/","목에 혹이 만져져요. 림프종 진단사례. — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165396187","/cases/case-165396187/","재발하는 뇌경색으로 내원하여 진단된 심방세동. — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165396249","/cases/case-165396249/","식도궤양 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165396339","/cases/case-165396339/","대동맥판막협착 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165407798","/cases/case-165407798/","대동맥류를 동반한 이엽성 판막증 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165407885","/cases/case-165407885/","궤양성대장염 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-165407958","/cases/case-165407958/","대장용종 절제 사례 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"case-167025586","/cases/case-167025586/","심근경색 진단과정 — 진단 사례","case-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"checkups","/checkups/","건강검진 안내","checkup-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"cancer-screening","/checkups/cancer-screening/","암검진 안내","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"drug-screening","/checkups/drug-screening/","마약검사·영문서류","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
