id,path,title,template,phase,source_urls,source_documents,schema,related_paths,sitemap_candidate,publication_status
home,/,영통탑내과,home,P0,https://yttop.co.kr/ | https://yttop.co.kr/42 | https://yttop.co.kr/43 | https://yttop.co.kr/48 | https://yttop.co.kr/16,research/2026-09-11-yttop/pages/p-db394c63d966.md | research/2026-09-11-yttop/pages/p-e006238f837b.md | research/2026-09-11-yttop/pages/p-fe8b82f8fca1.md | research/2026-09-11-yttop/pages/p-02bb2fe60567.md | research/2026-09-11-yttop/pages/p-633110709766.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/visit/ | /doctors/ | /services/heart/ | /checkups/ | /services/endoscopy/,True,pending
not-found,/404.html,페이지를 찾을 수 없습니다,not-found,P0,,,WebPage + BreadcrumbList (home 제외) + clinic reference,/ | /visit/ | /search/ | /sitemap/,False,pending
about,/about/,병원 소개,about,P0,https://yttop.co.kr/16 | https://yttop.co.kr/41 | https://yttop.co.kr/48,research/2026-09-11-yttop/pages/p-e006238f837b.md | research/2026-09-11-yttop/pages/p-b2f4f22dafc0.md | research/2026-09-11-yttop/pages/p-633110709766.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/doctors/ | /services/ | /visit/,True,pending
cases,/cases/,진단 사례,case-index,P2,https://yttop.co.kr/21,research/2026-09-11-yttop/pages/p-9c5ede93048d.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/services/ | /conditions/ | /content-policy/,True,pending
case-164673116,/cases/case-164673116/,복수 단백뇨로 내원하여 진단된 대장암. — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673116&t=board,research/2026-09-11-yttop/pages/p-01efd96da64c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-164673131,/cases/case-164673131/,속쓰림을 내원한 위암환자 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673131&t=board,research/2026-09-11-yttop/pages/p-3368ced3e327.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-164673206,/cases/case-164673206/,갑상선암 증례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673206&t=board,research/2026-09-11-yttop/pages/p-9f391a0aa3f9.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/thyroid/ | /services/ultrasound/ | /cases/ | /content-policy/,True,pending
case-164673218,/cases/case-164673218/,수신증 사례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673218&t=board,research/2026-09-11-yttop/pages/p-ef7cea431dff.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-164673233,/cases/case-164673233/,하복부 통증으로 내원하여 시행한 초음파 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673233&t=board,research/2026-09-11-yttop/pages/p-615acae38773.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-164673242,/cases/case-164673242/,발열 복통으로 내원한 복막염 환자. — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=164673242&t=board,research/2026-09-11-yttop/pages/p-dc641f71b6a7.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
