work_id,source_id,source_url,disposition,cluster,proposed_question,primary_page_id,related_page_ids,answer_scope,fact_ids,frequency_status,publication_status
Q01,C0000560798,https://mobile.hidoc.co.kr/healthqna/view/C0000560798,question_candidate,echo,심장초음파로 무엇을 확인하고 어떤 판단은 다른 평가가 필요한가요?,echocardiography,heart-disease;heart-test-differences,검사 유형과 평가 범위 및 한계를 근거로 설명하고 개인 결과의 질환 배제를 단정하지 않는다,F07;F06,F0_unmeasured,draft_required
Q02,C0000696382,https://mobile.hidoc.co.kr/healthqna/view/C0000696382,question_candidate,echo,심전도와 심장초음파 결과가 다르면 무엇을 확인해야 하나요?,heart-test-differences,echocardiography;heart-disease,검사 목적과 관찰 대상의 차이 및 이전 결과를 상담 때 함께 보는 이유를 설명한다,F07;F08,F0_unmeasured,draft_required
Q03,C0000558942,https://mobile.hidoc.co.kr/healthqna/view/C0000558942,question_candidate,holter,홀터검사 후에도 두근거림이 계속되면 진료 때 무엇을 알려야 하나요?,palpitations-followup,holter;heart-disease,증상 포착 여부와 기록할 정보를 설명하고 의료진이 검토한 긴급 상황 안내를 연결한다,F08;F15,F0_unmeasured,draft_required
Q04,C0000422642,https://mobile.hidoc.co.kr/healthqna/view/C0000422642,question_candidate,holter,간헐적으로 나타나는 두근거림은 검사 선택과 어떤 관계가 있나요?,heart-test-differences,holter;palpitations-followup,검사의 기록 방식과 진료 시 고려할 정보를 비교하되 특정 검사를 자가 선택하도록 단정하지 않는다,F07;F08,F0_unmeasured,draft_required
Q05,C0000878970,https://mobile.hidoc.co.kr/healthqna/view/C0000878970,question_candidate,holter,영통탑내과 홀터검사 결과는 어떤 자료와 함께 설명받나요?,holter,palpitations-followup;visit,실제 장비 기록 기간과 반납 및 결과 상담 절차를 확인해 증상 일지와 연결한다,F08;F03,F0_unmeasured,draft_required
Q06,C0000605007,https://mobile.hidoc.co.kr/healthqna/view/C0000605007,question_candidate,colonoscopy-prep,대장내시경 준비에서 식사 조절과 금식 안내는 어떻게 구분하나요?,colonoscopy-preparation,colonoscopy;endoscopy,준비 단계의 목적과 개인 예약 안내서 확인 순서를 설명한다,F09;F10,F0_unmeasured,draft_required
Q07,C0000998201,https://mobile.hidoc.co.kr/healthqna/view/C0000998201,question_candidate,colonoscopy-prep,오전 대장내시경을 예약했다면 준비 시각은 어디에서 확인하나요?,colonoscopy-preparation,colonoscopy;visit,병원의 검사 시각별 안내서와 예약 변경 시 재확인 절차를 제시한다,F09;F10;F03,F0_unmeasured,draft_required
Q08,C0000985651,https://mobile.hidoc.co.kr/healthqna/view/C0000985651,question_candidate,colonoscopy-prep,대장내시경 준비 중 물 섭취 안내는 어떻게 확인하나요?,colonoscopy-preparation,colonoscopy,정결제 복용에 필요한 물과 검사 직전 섭취 지침을 구분해 실제 병원 안내를 확인한다,F10,F0_unmeasured,draft_required
Q09,C0000998200,https://mobile.hidoc.co.kr/healthqna/view/C0000998200,question_candidate,colonoscopy-prep,대장내시경 전날 식사는 어떤 기준으로 준비하나요?,colonoscopy-preparation,colonoscopy,병원이 승인한 음식 예시와 적용 기간을 확인한 뒤 예약 안내서와 같은 기준으로 설명한다,F10,F0_unmeasured,draft_required
Q10,C0000998196,https://mobile.hidoc.co.kr/healthqna/view/C0000998196,question_candidate,colonoscopy-prep,대장내시경 준비 중 커피 등 음료는 무엇을 확인해야 하나요?,colonoscopy-preparation,checkup-preparation;colonoscopy,음료 종류와 검사 단계의 조건을 구분하고 일괄 허용 또는 금지 시각을 추정하지 않는다,F10,F0_unmeasured,draft_required
